Zufriedenheit_Score,Fakultaet,Abschluss,Fachsemester,Qualitaet_Arbeitsbelastung_Rev,Effekt_Zeitaufwand_Rev,Einstellung_Uebung_Hilfreich_Num,Einstellung_Pflicht_Ball_Num,Einstellung_Mat_Ausreichend_Num,Einstellung_Aufschieben_Num,Einstellung_Effizienz_Num,Nutzung_Kurzskript_Num,Nutzung_Skript_Num,Nutzung_Mitschriften_Num,Nutzung_Video_Num,Nutzung_Musterloesung_Num,Nutzung_Buecher_Num,Nutzung_Altklausuren_Num,Nutzung_YouTube_Num,Nutzung_KI_Num,Qualitaet_Verstehen_Num,Qualitaet_Struktur_Num,Qualitaet_Einfachheit_Num,Qualitaet_Rechtzeitig_Num,Qualitaet_Arbeitsbelastung_Num,Qualitaet_Erleichterung_Num,Effekt_Sicherheit_Num,Effekt_Motivation_Num,Effekt_Selbststaendig_Num,Effekt_Stress_Num,Effekt_Zeitaufwand_Num,Effekt_Relevanz_Num
4,Erziehungswissenschaften,Bachelor,5,3,3,2,1,4,4,5,1,1,2,2,5,4,5,5,4,4,4,5,2,3,4,4,3,4,4,3,3
4,Statistik,Master,1,3,2,2,1,3,1,5,5,5,5,3,5,2,4,5,5,4,4,4,3,3,4,4,4,4,4,4,4
4,Erziehungswissenschaften,Bachelor,5,1,5,NA,NA,3,4,5,NA,NA,4,4,4,4,5,2,5,4,4,4,5,5,4,5,4,5,3,1,3
4,Rehabilitationswissenschaften,Bachelor,3,2,2,5,4,4,5,3,4,5,4,3,5,3,4,4,2,4,4,3,2,4,4,4,2,4,2,4,4
3,Lehramt,Bachelor,5,4,4,4,2,4,4,4,1,1,4,2,1,4,5,4,5,3,3,4,4,2,5,4,4,4,2,2,3
2,Raumplanung,Bachelor,3,2,4,NA,4,2,NA,4,4,3,2,NA,4,1,5,5,1,4,3,3,5,4,4,2,3,2,3,2,3
1,Informatik,Bachelor,3,2,2,4,5,3,4,5,2,5,3,5,5,1,5,5,3,3,2,4,4,4,2,1,1,2,2,4,4
2,Wirtschaftswissenschaften,Bachelor,1,2,2,4,4,3,4,4,3,2,3,3,4,2,4,3,4,3,3,3,4,4,3,3,2,3,2,4,3
2,Mathematik,Master,10,3,3,5,5,2,4,3,2,1,3,1,5,1,5,5,5,3,4,5,4,3,4,3,1,2,1,3,2
5,Bauingenieurwesen,Bachelor,6,3,1,1,4,2,4,5,1,1,1,2,5,1,5,5,4,3,2,4,2,3,2,4,1,3,4,5,4
4,Physik,Bachelor,3,2,1,4,5,4,2,5,4,5,5,1,4,3,4,4,3,3,4,2,4,4,5,4,2,4,2,5,4
4,Physik,Bachelor,3,2,2,5,4,4,2,4,2,3,5,NA,5,3,4,1,1,4,4,4,4,4,4,4,4,5,4,4,5
4,Physik,Bachelor,1,3,3,5,5,3,2,5,NA,4,NA,NA,4,2,5,5,5,4,3,4,5,3,5,5,4,5,5,3,2
4,Mathematik,Bachelor,5,1,2,4,4,4,4,5,4,5,5,NA,5,3,4,5,4,4,5,5,3,5,5,4,2,4,4,4,2
3,Sonstiges,Bachelor,5,4,3,4,4,4,2,5,5,5,5,5,5,2,5,3,3,2,4,4,5,2,5,4,1,1,1,3,1
4,Lehramt,Master,3,3,4,5,4,4,2,4,5,4,4,3,4,3,5,2,3,4,4,4,5,3,4,4,4,5,4,2,4
4,Informatik,Bachelor,3,1,NA,4,5,4,3,3,NA,1,1,1,5,1,5,1,1,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA
4,Informatik,Bachelor,5,5,5,5,5,5,5,4,3,5,1,5,4,1,3,3,4,5,5,4,5,1,5,4,5,5,5,1,4
3,Architektur,Bachelor,7,3,3,4,3,4,4,4,2,3,5,4,4,3,5,4,1,4,4,4,3,3,3,3,3,3,3,3,3
2,Sozialwissenschaften,Bachelor,1,4,1,5,5,4,4,5,4,2,5,1,5,2,4,4,2,3,4,1,4,2,4,4,4,5,2,5,1
2,Soziologie,Bachelor,1,3,NA,4,5,4,5,4,4,4,4,2,4,2,2,5,3,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA
3,Soziologie,Bachelor,1,3,3,3,2,4,5,5,4,4,4,3,5,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3
3,Erziehungswissenschaften,Bachelor,1,NA,NA,3,4,2,4,4,NA,NA,5,3,2,2,3,4,3,3,2,3,NA,NA,4,2,2,4,1,NA,2
4,Erziehungswissenschaften,Bachelor,6,3,3,4,2,4,3,5,1,2,5,4,5,2,NA,3,3,4,4,2,5,3,4,4,2,4,2,3,4
4,Mathematik,Bachelor,3,2,2,5,4,4,3,5,4,2,5,5,5,2,3,3,4,2,4,3,4,4,4,4,3,4,3,4,4
4,Mathematik,Master,NA,2,2,5,5,4,5,4,1,5,3,2,5,3,5,4,4,5,4,4,5,4,5,4,4,5,4,4,4
4,Mathematik,Bachelor,3,1,1,5,5,4,3,5,2,4,4,4,5,2,5,4,4,4,3,3,4,5,4,3,4,4,3,5,4
2,Mathematik,Bachelor,3,1,1,5,5,4,5,3,4,5,5,4,5,2,5,4,1,2,1,2,2,5,4,4,1,3,1,5,4
2,Maschinenbau,Bachelor,3,3,4,4,5,4,5,5,4,3,3,4,5,1,5,4,5,3,3,2,4,3,2,3,2,2,1,2,2
2,Lehramt,Bachelor,1,3,1,5,4,4,4,5,1,1,5,1,4,1,2,4,1,3,4,4,5,3,4,4,2,4,2,5,3
3,Mathematik,Bachelor,5,3,4,4,4,4,2,4,3,4,4,4,4,2,4,3,3,4,3,4,2,3,3,4,2,4,4,2,2
4,Erziehungswissenschaften,Bachelor,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Erziehungswissenschaften,Bachelor,3,3,4,4,5,2,5,4,2,2,5,NA,3,2,4,5,3,4,4,5,2,3,4,4,2,2,1,2,3
2,Erziehungswissenschaften,Bachelor,3,3,2,4,4,4,4,4,NA,4,4,5,5,4,5,4,5,4,4,5,4,3,4,4,3,3,4,4,3
4,Rehabilitationswissenschaften,Bachelor,1,3,4,3,2,4,4,4,2,3,4,1,4,2,3,2,4,2,4,4,4,3,4,3,4,4,3,2,3
2,Statistik,Bachelor,3,4,4,4,3,2,5,5,3,4,1,3,1,2,3,4,5,5,3,5,4,2,4,2,4,5,3,2,3
2,Statistik,Bachelor,3,3,3,5,2,4,3,5,2,3,3,1,5,1,5,3,4,5,4,4,3,3,5,4,4,5,4,3,4
3,Physik,Bachelor,3,2,2,4,4,4,4,5,NA,4,4,1,2,4,4,3,2,4,3,2,4,4,4,4,4,4,3,4,4
2,Physik,Bachelor,3,NA,1,5,4,5,4,5,NA,4,4,1,4,1,4,3,1,5,4,2,4,NA,4,4,3,4,4,5,4
4,Physik,Bachelor,3,2,NA,4,5,3,NA,5,1,3,3,NA,5,4,5,2,1,4,2,2,4,4,4,4,2,4,4,NA,NA
2,Maschinenbau,Bachelor,1,3,4,4,5,3,5,5,NA,4,5,4,5,2,2,4,5,4,3,2,4,3,5,4,4,5,3,2,3
4,Maschinenbau,Bachelor,3,3,2,5,2,4,2,5,5,4,4,3,5,2,4,3,5,4,4,3,4,3,4,4,3,5,4,4,5
3,Maschinenbau,Bachelor,3,1,3,5,3,4,2,5,NA,4,4,2,5,2,5,3,5,4,4,2,4,5,4,4,3,5,4,3,4
1,Maschinenbau,Bachelor,NA,5,5,2,2,NA,1,1,1,1,5,5,5,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1
2,Physik,Bachelor,3,3,2,4,4,2,2,4,NA,3,1,NA,NA,NA,5,5,5,5,NA,4,4,3,5,2,2,4,2,4,2
2,Physik,Bachelor,3,3,3,4,5,3,4,4,3,4,2,1,4,3,5,4,4,4,3,2,4,3,4,4,3,4,3,3,4
4,Physik,Bachelor,3,4,NA,4,4,2,5,5,NA,4,2,1,4,2,4,4,5,4,2,2,3,2,4,NA,NA,NA,NA,NA,NA
3,Physik,Bachelor,3,3,1,4,4,4,4,5,4,5,3,1,4,1,5,4,5,5,4,4,3,3,5,4,3,4,3,5,4
2,Soziologie,Bachelor,3,1,2,4,4,5,2,4,5,2,1,1,5,2,1,3,5,3,5,3,5,5,5,5,4,5,3,4,3
4,Statistik,Bachelor,3,4,2,4,4,4,4,4,3,3,1,1,5,1,4,5,5,NA,4,4,5,2,4,NA,NA,5,4,4,4
3,Mathematik,Master,6,2,2,4,4,4,4,5,4,4,5,3,4,2,4,3,5,4,4,3,4,4,2,4,2,4,2,4,4
3,Lehramt,Bachelor,6,2,2,4,4,4,3,5,2,4,4,4,5,2,4,3,5,3,4,4,4,4,4,4,4,4,4,4,4
4,Bci,Bachelor,5,2,3,4,4,2,1,5,1,3,5,4,5,3,5,5,5,4,3,2,4,4,5,3,4,5,4,3,2
NA,NA,NA,3,3,2,3,4,4,4,5,NA,NA,5,2,4,2,NA,3,4,2,4,3,4,3,3,4,3,4,2,4,3
4,Sachunterricht,Bachelor,3,2,1,4,2,2,2,5,4,5,5,2,5,1,5,2,5,3,5,3,4,4,3,3,2,4,1,5,1
2,Erziehungswissenschaften,Bachelor,7,3,3,1,4,2,5,4,1,4,4,1,5,3,5,4,3,2,4,4,2,3,4,3,4,4,4,3,4
1,Statistik,Bachelor,3,2,3,5,5,3,5,5,5,3,1,3,5,1,5,4,4,NA,3,3,3,4,4,3,1,3,3,3,3
2,Informatik,Bachelor,3,1,1,5,5,4,4,5,4,4,5,4,5,2,4,5,5,3,3,2,4,5,3,3,2,4,3,5,4
1,Statistik,Bachelor,7,2,2,5,5,5,4,4,2,5,4,3,5,2,1,2,3,4,5,2,5,4,5,5,4,4,2,4,4
5,Maschinenbau,Master,2,4,3,4,4,4,4,5,3,2,3,4,5,1,5,4,4,4,4,4,4,2,5,4,5,5,4,3,5
4,Wirtschaftswissenschaften,Master,3,1,2,4,5,2,5,5,5,4,5,5,5,4,1,2,2,4,4,1,5,5,4,4,1,4,2,4,2
5,Mathematik,Master,2,3,2,5,5,4,3,4,3,2,3,3,4,3,5,4,4,3,3,3,4,3,4,4,3,4,4,4,4
3,Mathematik,Master,1,1,2,4,2,4,4,4,3,3,3,3,5,2,5,4,5,3,4,4,2,5,2,4,3,4,3,4,4
3,Wirtschaftswissenschaften,Bachelor,1,2,2,4,4,3,4,5,2,4,5,4,5,3,4,3,4,2,5,3,4,4,3,4,2,3,2,4,3
5,Statistik,Bachelor,7,2,2,4,2,5,3,5,NA,5,5,NA,5,1,2,4,4,5,4,3,5,4,4,4,3,3,5,4,3
4,Statistik,Bachelor,1,3,3,NA,4,2,5,5,2,5,3,4,5,4,5,5,5,4,2,4,4,3,5,4,1,2,3,3,4
2,Statistik,Bachelor,5,4,4,4,4,4,4,5,4,5,4,4,3,3,4,4,5,5,4,3,5,2,5,3,4,4,2,2,4
4,Wirtschaftswissenschaften,Bachelor,3,4,2,2,3,4,2,2,1,2,3,5,5,3,4,3,5,3,2,4,4,2,2,3,2,3,2,4,4
2,Physik,Bachelor,3,2,4,5,5,4,5,5,NA,4,2,NA,5,4,4,NA,1,4,4,4,4,4,4,5,4,5,4,2,4
2,Chemische Biologie,Bachelor,7,2,1,4,2,3,5,4,3,2,1,3,4,1,5,3,4,1,3,1,2,4,4,3,2,2,2,5,3
4,Bauwesen,Bachelor,7,3,2,5,2,4,4,4,4,5,5,4,5,5,5,3,4,4,4,2,3,3,4,2,2,4,2,4,2
